episode,total_reward,rolling_avg_20
839,985.3,861.44
840,760.11,866.22
841,1020.14,867.54
842,972.49,874.32
843,996.74,884.74
844,835.53,891.72
845,881.88,885.22
846,630.96,871.42
847,951.8,882.96
848,983.2,885.01
849,658.75,870.73
850,654.63,858.14
851,597.97,852.17
852,800.62,847.33
853,884.03,842.92
854,802.21,850.39
855,785.56,840.74
856,827.51,848.05
857,805.95,840.34
858,719.95,827.77
859,717.38,814.37
860,988.05,825.77
861,900.96,819.81
862,685.95,805.48
863,941.7,802.73
864,906.89,806.3
865,1041.42,814.27
866,906.79,828.07
867,805.89,820.77
868,1018.22,822.52
869,771.49,828.16
870,860.05,838.43
871,765.78,846.82
872,846.86,849.13
873,827.73,846.32
874,900.35,851.22
875,763.84,850.14
876,879.52,852.74
877,879.84,856.43
878,801.09,860.49
879,869.69,868.1
880,973.06,867.35
881,704.6,857.54
882,1027.95,874.64
883,1019.1,878.51
884,927.02,879.51
885,815.99,868.24
886,970.62,871.43
887,1033.67,882.82
888,1012.12,882.52
889,693.38,878.61
890,750.17,873.12
891,876.04,878.63
892,823.55,877.47
893,926.13,882.39
894,606.73,867.71
895,671.83,863.11
896,678.84,853.07
897,944.33,856.3
898,643.51,848.42
899,743.97,842.13
900,677.35,827.35
901,726.17,828.42
902,929.34,823.49
903,695.86,807.33
904,743.27,798.14
905,742.18,794.45
906,648.06,778.33
907,662.79,759.78
908,808.29,749.59
909,741.79,752.01
910,533.36,741.17
911,906.71,742.7
912,959.29,749.49
913,830.94,744.73
914,916.21,760.21
915,821.2,767.67
916,958.28,781.65
917,993.94,784.13
918,746.42,789.27
919,907.53,797.45
920,831.99,805.18
921,976.84,817.72
922,909.23,816.71
923,869.81,825.41
924,776.45,827.07
925,950.27,837.47
926,974.32,853.78
927,670.67,854.18
928,745.52,851.04
929,761.59,852.03
930,871.29,868.93
931,742.17,860.7
932,637.1,844.59
933,943.36,850.21
934,840.24,846.41
935,919.94,851.35
936,684.91,837.68
937,653.79,820.67
938,907.75,828.74
939,661.98,816.46
940,970.7,823.4
941,954.6,822.28
942,985.98,826.12
943,693.16,817.29
944,801.9,818.56
945,892.03,815.65
946,1019.59,817.91
947,703.21,819.54
948,930.28,828.78
949,698.23,825.61
950,1002.91,832.19
951,910.63,840.61
952,733.14,845.42
953,948.66,845.68
954,1015.67,854.45
955,937.08,855.31
956,951.61,868.64
957,740.92,873.0
958,909.4,873.08
959,878.24,883.9
960,926.34,881.68
961,561.77,862.04
962,974.3,861.45
963,777.06,865.65
964,753.96,863.25
965,811.52,859.23
966,672.58,841.88
967,699.89,841.71
968,711.3,830.76
969,747.79,833.24
970,706.69,818.43
971,997.25,822.76
972,788.36,825.52
973,735.29,814.85
974,765.56,802.35
975,1023.2,806.65
976,1036.87,810.92
977,1005.62,824.15
978,945.98,825.98
979,828.56,823.5
980,979.77,826.17
981,916.69,843.91
982,721.56,831.28
983,928.96,838.87
984,749.82,838.66
985,883.33,842.25
986,673.31,842.29
987,776.39,846.12
988,794.75,850.29
989,987.86,862.29
990,683.56,861.13
991,882.48,855.4
992,689.25,850.44
993,985.95,862.97
994,603.17,854.85
995,962.88,851.84
996,660.39,833.01
997,781.77,821.82
998,697.76,809.41
999,628.57,799.41
1000,653.78,783.11
1001,913.86,782.97
1002,692.11,781.5
1003,1004.22,785.26
1004,913.44,793.44
1005,967.39,797.64
1006,696.71,798.81
1007,733.65,796.68
1008,927.97,803.34
1009,622.06,785.05
1010,978.4,799.79
1011,974.73,804.4
1012,977.04,818.79
1013,1003.28,819.66
1014,659.62,822.48
1015,893.43,819.01
1016,991.36,835.56
1017,835.46,838.24
1018,1020.6,854.38
1019,802.5,863.08
1020,947.39,877.76
1021,954.71,879.8
1022,1034.41,896.92
1023,922.63,892.84
1024,676.03,880.97
1025,791.23,872.16
1026,739.44,874.3
1027,655.33,870.38
1028,836.91,865.83
1029,785.24,873.99
1030,952.23,872.68
1031,681.78,858.03
1032,687.52,843.55
1033,699.63,828.37
1034,1043.69,847.57
1035,681.7,836.99
1036,691.0,821.97
1037,691.89,814.79
1038,724.88,800.01
1039,696.2,794.69
1040,861.81,790.41
1041,972.04,791.28
1042,953.52,787.23
1043,895.26,785.87
1044,882.56,796.19
1045,970.43,805.15
1046,686.7,802.52
1047,830.52,811.28
1048,816.1,810.23
1049,581.42,800.04
1050,947.14,799.79
1051,1007.77,816.09
1052,790.12,821.22
1053,869.37,829.71
1054,1028.87,828.96
1055,871.17,838.44
1056,721.82,839.98
1057,1009.08,855.84
1058,931.82,866.19
1059,692.18,865.99
1060,670.92,856.44
1061,926.73,854.18
1062,1037.89,858.39
1063,991.8,863.22
1064,868.87,862.54
1065,751.42,851.59
1066,723.25,853.41
1067,660.32,844.9
1068,736.7,840.93
